cb	Press_in [Pa]	Press_out [Pa]	dif [Pa]	desvPin	desvPout	Press_in [Pa]	Press_out [Pa]	dif [Pa]	desvPin	desvPout
1	39604.2	37676	1928.2	0	0	39607.90909	38146.07273	1461.836364	59.23100316	200.8308926
2	39709.4	37280.9	2428.5	5.3	5	39569.03	38023.99	1545.04	44.77863441	25.57293296
3	39692.6	37012	2680.6	21.64824858	21.24727433	39534.25556	37823.88889	1710.366667	33.21536161	19.0704218
4	39677.55	36679.55	2998	30.72145016	30.19888243	39536.41625	37584.2	1952.21625	56.83508466	15.2012335
5	39663.12	36271.82	3391.3	41.36333642	40.95472622	39501.78571	37287.34286	2214.442857	34.19391878	14.95601715
6	39646.33333	35722.03333	3924.3	50.34658766	50.2869654	39474.65	36889.65	2585	27.15564705	11.14192533
7	39634.78571	34970.8	4663.985714	57.78960432	57.53225182	39450.66	36355.26	3095.4	33.68789694	19.61668677
8	39615.425	33862.6625	5752.7625	69.68170043	69.45960944	39424.1	35551.575	3872.525	18.59932794	28.13995158
9	39942.42222	32411.38889	7531.033333	66.23246565	78.87319562	39752.36667	34639.36667	5113	32.40209184	16.99418201
10	39601.28	28397.2	11204.08	88.39841401	88.30460917	39371.15	31614.7	7756.45	10.95	52.3
11	39608.39091	16801.6	22806.79091	203.0690185	201.6940167	38953.7	23375	15578.7	0	0
